10 7 80 2 59
*** *** *** *** *** *** *** 
011 007 AAA 009 012 002 013 
*** 002 010 013 *** 004 *** 
*** *** 011 *** 011 *** *** 
*** *** 005 009 010 000 008 
*** *** AAA *** *** *** *** 
*** 013 *** *** *** *** *** 
004 *** *** *** *** *** *** 
*** *** *** *** *** *** *** 
*** *** *** *** *** *** *** 
///
001 *** *** 005 012 002 003 
002 000 AAA 011 009 012 013 
*** 008 009 009 010 013 013 
*** 006 001 *** 009 001 005 
002 009 006 002 011 007 004 
010 003 AAA *** *** *** 006 
000 010 013 013 005 004 000 
002 010 001 *** 003 011 007 
007 000 *** *** *** 009 012 
004 *** *** *** *** *** *** 
