60 60 20000 2 50
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 005 015 006 009 033 013 032 003 028 031 
033 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 010 *** *** *** *** *** *** *** *** *** 012 
*** 019 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 033 011 021 012 009 018 018 026 003 007 024 015 
*** *** 009 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 017 *** *** *** *** *** *** *** *** *** *** *** 015 
*** *** *** 003 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 023 022 024 029 031 034 012 000 010 018 012 028 021 019 
*** *** *** *** 026 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 031 023 025 034 011 025 026 034 001 031 011 003 032 013 032 
020 *** *** *** *** 006 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 007 *** *** *** *** *** *** *** *** *** *** *** *** *** *** 004 
*** 033 030 002 019 022 000 003 028 034 002 009 020 003 017 006 027 009 018 005 031 024 024 011 017 022 027 010 008 012 030 024 024 022 030 030 017 008 016 031 013 007 000 AAA 032 001 003 000 011 014 022 016 018 004 016 034 008 025 021 034 
*** *** 025 *** *** 016 *** 021 *** *** *** 006 *** *** *** 005 026 033 *** 017 *** *** 009 027 021 *** 007 *** *** *** *** 032 *** *** 012 *** *** *** *** 017 *** *** *** 025 024 029 030 021 002 027 021 001 024 010 032 029 022 015 032 026 
*** 027 *** 005 000 *** *** *** 018 *** 021 *** *** *** 031 014 020 *** 011 *** *** 028 019 030 *** 003 *** *** *** *** 010 *** *** 022 *** *** *** *** 003 *** *** *** 018 017 *** 017 *** *** *** *** *** *** *** *** *** *** *** *** *** 005 
012 *** *** 019 021 *** *** *** *** 030 *** *** *** 000 034 012 *** 007 *** *** 006 028 029 *** 000 *** *** *** *** 012 *** *** 005 *** *** *** *** 027 *** *** *** 029 *** 027 *** *** 001 007 029 034 018 007 000 026 003 030 002 031 019 032 
