70 70 20000 2 50
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 010 023 003 008 010 003 002 015 024 006 007 020 003 020 013 009 011 013 001 009 024 024 008 019 000 008 003 003 012 011 003 002 001 011 
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 000 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 017 *** *** *** *** *** *** 
022 001 004 000 008 001 023 001 005 012 002 016 019 020 015 008 011 019 005 010 016 003 008 018 003 004 003 015 018 019 018 019 018 009 018 018 016 013 008 019 024 007 016 005 021 015 007 001 000 021 024 014 019 024 006 023 006 003 018 024 016 021 AAA 023 015 016 011 003 021 010 
*** 005 001 *** 006 021 *** 013 017 003 021 002 *** 023 *** 006 *** 001 010 021 019 020 003 *** 008 000 006 007 005 *** 024 019 013 003 013 023 010 015 020 004 018 018 018 013 007 009 014 002 003 021 005 004 018 020 005 013 021 024 016 001 014 017 005 014 020 023 006 005 011 015 
016 012 013 014 007 *** 015 005 024 015 017 *** 004 *** 021 *** 016 018 024 007 004 010 *** 022 021 004 005 004 *** 006 003 019 007 017 023 017 007 016 013 019 024 013 020 010 009 004 019 022 022 023 003 021 020 007 019 021 002 001 011 001 012 012 019 011 018 004 002 022 012 020 
019 018 023 012 018 006 011 022 008 006 019 012 018 014 011 020 013 010 012 001 017 021 005 017 020 005 010 022 003 021 024 AAA 017 000 001 001 014 *** 007 007 005 022 *** *** *** *** 023 *** *** 013 016 002 *** *** *** 023 002 013 001 020 017 009 005 *** *** 022 *** *** *** *** 
*** 020 009 *** 008 008 004 023 010 *** 022 *** 004 *** 018 023 012 019 009 001 *** 009 012 010 023 005 *** 021 022 004 006 014 017 006 011 006 006 001 019 002 004 013 015 012 017 013 020 005 009 003 006 024 021 008 024 020 006 005 020 018 018 000 007 004 020 007 024 011 011 004 
002 020 *** 024 009 019 016 021 *** 019 *** 012 *** 003 014 011 010 021 011 *** 005 005 016 022 017 *** 022 018 019 013 022 005 018 017 019 015 016 022 003 002 017 014 021 002 024 016 003 001 010 023 024 018 011 003 007 006 006 012 004 019 011 013 012 012 015 020 017 006 021 002 
012 *** 002 014 002 021 016 *** 009 *** 022 *** 020 005 018 012 004 015 *** 020 003 008 016 003 *** 004 024 011 023 015 007 002 007 009 010 014 017 023 008 *** *** *** *** 008 *** *** 017 011 005 *** *** *** 018 014 000 015 022 016 024 017 002 001 *** *** *** *** *** *** 018 *** 
*** 004 011 023 010 016 *** 015 *** 008 *** 003 017 022 006 020 005 *** 004 010 021 018 010 *** 000 011 016 006 003 010 001 001 018 *** 003 019 012 021 003 016 017 010 005 019 014 020 006 016 023 014 003 012 013 005 021 007 010 013 005 020 011 014 014 001 000 023 024 016 007 018 
023 004 014 005 018 *** 015 *** 012 *** 019 017 021 018 003 019 *** 015 011 016 012 018 *** 014 012 022 019 021 015 010 023 018 *** 001 015 016 024 020 013 022 020 006 017 010 011 013 015 007 016 017 005 014 009 012 000 007 014 024 009 019 023 000 007 016 018 003 002 012 007 022 
011 016 011 001 *** 013 *** 020 *** 024 021 014 014 017 019 *** 017 022 000 014 011 *** 003 010 014 009 002 007 011 020 020 022 000 006 020 024 *** 023 *** *** 007 *** *** 005 021 021 *** *** *** 024 001 017 005 008 003 001 008 017 004 *** *** *** *** *** *** *** *** *** *** 021 
010 022 008 *** 022 *** 005 *** 002 009 001 019 019 004 *** 014 023 012 019 023 *** 001 014 005 024 008 004 005 016 012 *** 010 012 022 002 *** *** *** 010 013 020 003 023 022 007 010 020 003 004 012 021 009 018 008 000 005 013 018 011 020 006 021 018 017 018 016 000 000 019 014 
004 018 *** 015 *** 008 *** 021 008 020 018 002 005 *** 007 004 024 020 020 *** 019 011 010 008 005 023 001 022 016 *** 021 008 016 007 *** *** *** *** 014 006 022 018 015 003 022 019 023 003 012 022 003 001 007 001 009 024 010 005 020 004 018 013 003 002 020 007 013 011 004 023 
014 *** 004 *** 018 *** 020 014 021 000 000 000 *** 024 015 015 021 000 *** 004 024 009 001 000 003 018 020 006 *** 012 012 004 020 *** *** *** *** 018 *** *** 016 005 014 *** *** *** 024 014 009 002 011 007 011 009 016 018 *** *** *** *** *** *** *** *** *** *** *** *** *** 006 
*** 021 *** 024 *** 003 023 019 017 003 011 *** 023 023 000 012 002 *** 002 013 019 006 008 019 003 013 020 *** 004 000 024 005 *** *** *** *** 013 *** *** 000 024 015 003 011 009 016 002 005 013 021 009 000 020 022 000 017 013 004 023 019 023 021 012 015 017 001 012 012 016 013 
019 *** 015 *** 009 019 006 016 011 008 *** 022 021 012 004 006 *** 023 000 013 019 018 023 013 000 009 *** 009 022 008 002 017 *** *** *** 000 *** *** 012 004 001 *** 012 007 023 010 020 006 014 005 008 013 006 006 017 015 018 009 009 004 012 002 019 014 009 000 024 024 004 009 
*** 015 *** 009 016 018 001 013 009 *** 011 024 020 011 011 *** 024 002 003 006 015 005 010 010 008 *** 019 012 007 021 *** 018 *** *** 018 *** *** 016 007 011 *** *** *** 012 001 003 020 006 020 002 024 023 011 023 019 005 013 010 017 018 018 002 013 007 008 017 007 010 018 002 
009 *** 006 007 013 019 015 014 *** 012 011 009 009 020 *** 012 010 003 010 021 009 011 017 013 *** 004 004 001 022 *** *** 018 *** 012 *** *** 001 011 022 *** *** *** 000 011 020 019 004 012 002 003 018 024 015 005 001 004 008 022 017 024 009 003 000 019 000 022 003 021 022 019 
*** 015 008 002 013 002 003 *** 006 013 001 014 000 *** 000 022 011 009 012 016 007 014 001 *** 018 013 001 014 *** *** *** 015 015 *** *** 016 010 023 *** *** *** 020 010 011 021 017 008 003 007 000 021 000 021 009 005 000 021 024 013 001 006 002 005 001 009 019 024 000 013 005 
016 009 014 015 012 012 *** 001 012 024 024 001 *** 013 000 007 022 006 015 012 022 008 *** 006 021 005 016 *** *** *** *** 021 *** *** 017 009 000 *** *** *** 006 020 001 024 002 007 009 022 000 018 012 011 005 015 015 004 015 007 003 000 009 018 024 006 002 008 006 012 012 009 
