8 9 80 2 53
*** AAA 029 025 026 023 007 000 002 
*** 039 002 *** *** *** *** TTT *** 
011 013 *** 010 011 035 011 021 003 
022 003 029 034 006 AAA *** *** *** 
027 019 019 030 *** 025 036 023 011 
005 024 036 *** *** *** 012 010 010 
006 005 *** *** *** *** *** 008 008 
031 *** *** *** *** *** *** *** 025 
///
034 AAA *** *** *** *** *** *** *** 
*** 033 032 *** *** *** *** *** *** 
030 *** 025 025 014 008 011 039 029 
*** 005 039 023 025 AAA *** *** *** 
*** *** *** *** *** 034 016 *** *** 
*** *** *** TTT *** *** 013 015 012 
*** *** *** *** *** *** *** *** *** 
*** *** *** *** *** *** *** *** *** 
